context,question,answer,start_position,end_position
"1730 жылы Кiшi жүздiң ықпалды билерi Әбiлқайырға Жоңғарияға қарсы күресу үшiн Ресеймен келiссөз жүргiзудi тапсырды. Алайда хан билер мәжiлiсiнiң шешiмiн бұзып, Петербургке аттандырылған елшiлерге әскери одақ құру емес, Ресейдiң қол астына кiрудi қуаттайтын құжатқа қол қоюды тапсырды.",Қай жерге елшілер аттанды?,Петербургке,160,171
"Ресей императоры Анна Иоанновнаның атына жазылған Әбiлқайырдың өтiнiшiнде қазақтың барлық үш жүзiн Ресейдің қол астына алу туралы өтiнiш жасалды. Әбiлқайыр бұл өтiнiш шын мәнiнде Ресейге бодан болуды емес, онымен одақтас болуды ғана көздеген билер мен халықтың тiлегiне қайшы келетiн болғандықтан елден жасырды. Орыс өкiметi мұны пайдаланып қалуға тырысып, қазақ жерiн және Орта Азия арқылы өтетiн барлық керуен жолдарын өзiнiң қол астына бағындыруды көздеген әрекеттердi қолға ала бастады. ",Ресей императоры кім?,Анна Иоанновна,17,31
"Ресей императоры Анна Иоанновнаның атына жазылған Әбiлқайырдың өтiнiшiнде қазақтың барлық үш жүзiн Ресейдің қол астына алу туралы өтiнiш жасалды. Әбiлқайыр бұл өтiнiш шын мәнiнде Ресейге бодан болуды емес, онымен одақтас болуды ғана көздеген билер мен халықтың тiлегiне қайшы келетiн болғандықтан елден жасырды. Орыс өкiметi мұны пайдаланып қалуға тырысып, қазақ жерiн және Орта Азия арқылы өтетiн барлық керуен жолдарын өзiнiң қол астына бағындыруды көздеген әрекеттердi қолға ала бастады. ",Анна Иоанновна кім?,Ресей императоры,0,16
"Ресей императоры Анна Иоанновнаның атына жазылған Әбiлқайырдың өтiнiшiнде қазақтың барлық үш жүзiн Ресейдің қол астына алу туралы өтiнiш жасалды. Әбiлқайыр бұл өтiнiш шын мәнiнде Ресейге бодан болуды емес, онымен одақтас болуды ғана көздеген билер мен халықтың тiлегiне қайшы келетiн болғандықтан елден жасырды. Орыс өкiметi мұны пайдаланып қалуға тырысып, қазақ жерiн және Орта Азия арқылы өтетiн барлық керуен жолдарын өзiнiң қол астына бағындыруды көздеген әрекеттердi қолға ала бастады. ",Әбілқайыр қандай өтініш жасады?,қазақтың барлық үш жүзiн Ресейдің қол астына алу туралы,74,129
"Ресей императоры Анна Иоанновнаның атына жазылған Әбiлқайырдың өтiнiшiнде қазақтың барлық үш жүзiн Ресейдің қол астына алу туралы өтiнiш жасалды. Әбiлқайыр бұл өтiнiш шын мәнiнде Ресейге бодан болуды емес, онымен одақтас болуды ғана көздеген билер мен халықтың тiлегiне қайшы келетiн болғандықтан елден жасырды. Орыс өкiметi мұны пайдаланып қалуға тырысып, қазақ жерiн және Орта Азия арқылы өтетiн барлық керуен жолдарын өзiнiң қол астына бағындыруды көздеген әрекеттердi қолға ала бастады. ",Әбілқайыр өз өтініші халықтың тілегеніне қайшы болғандығы үшін не істеді?,елден жасырды,297,310
"Ресей императоры Анна Иоанновнаның атына жазылған Әбiлқайырдың өтiнiшiнде қазақтың барлық үш жүзiн Ресейдің қол астына алу туралы өтiнiш жасалды. Әбiлқайыр бұл өтiнiш шын мәнiнде Ресейге бодан болуды емес, онымен одақтас болуды ғана көздеген билер мен халықтың тiлегiне қайшы келетiн болғандықтан елден жасырды. Орыс өкiметi мұны пайдаланып қалуға тырысып, қазақ жерiн және Орта Азия арқылы өтетiн барлық керуен жолдарын өзiнiң қол астына бағындыруды көздеген әрекеттердi қолға ала бастады. ",Билер мен халықтың тілеуі не болған еді?,"Ресейге бодан болуды емес, онымен одақтас болуды ғана көздеген",179,241
"Ресей императоры Анна Иоанновнаның атына жазылған Әбiлқайырдың өтiнiшiнде қазақтың барлық үш жүзiн Ресейдің қол астына алу туралы өтiнiш жасалды. Әбiлқайыр бұл өтiнiш шын мәнiнде Ресейге бодан болуды емес, онымен одақтас болуды ғана көздеген билер мен халықтың тiлегiне қайшы келетiн болғандықтан елден жасырды. Орыс өкiметi мұны пайдаланып қалуға тырысып, қазақ жерiн және Орта Азия арқылы өтетiн барлық керуен жолдарын өзiнiң қол астына бағындыруды көздеген әрекеттердi қолға ала бастады. ",Орыс өкіметі нені көздеді?,қазақ жерiн және Орта Азия арқылы өтетiн барлық керуен жолдарын өзiнiң қол астына бағындыруды,357,450
"Бұған қоса олар қазақтарға туыс болып келетін башқұрттарды да өздерiнiң қарамағына бiржолата бағындыруды көздедi. Патша өкiметi осы мақсатты жүзеге асыру үшiн Жайықтың бойында қамалдар салуды және башқұрт-қазақ халықтарын өзара жауластыруды қолға ала бастады. Яғни, қазақтар армандағандай Ресейдiң қазақ халқының басқыншы ойраттарға қарсы соғысында одақтас болуы және қазақтарды өздерiмен тең санауы, тiптен де мүмкiн емес едi.",Қазақтарға туыс болып келетін мемлекет қандай?,башқұр,46,52
"Бұған қоса олар қазақтарға туыс болып келетін башқұрттарды да өздерiнiң қарамағына бiржолата бағындыруды көздедi. Патша өкiметi осы мақсатты жүзеге асыру үшiн Жайықтың бойында қамалдар салуды және башқұрт-қазақ халықтарын өзара жауластыруды қолға ала бастады. Яғни, қазақтар армандағандай Ресейдiң қазақ халқының басқыншы ойраттарға қарсы соғысында одақтас болуы және қазақтарды өздерiмен тең санауы, тiптен де мүмкiн емес едi.",Патша өкіметі өзінің мақсатын жүзеге асыру үшін не бұйырды?,Жайықтың бойында қамалдар салуды және башқұрт-қазақ халықтарын өзара жауластыруды қолға ала бастады,159,258
"Бұған қоса олар қазақтарға туыс болып келетін башқұрттарды да өздерiнiң қарамағына бiржолата бағындыруды көздедi. Патша өкiметi осы мақсатты жүзеге асыру үшiн Жайықтың бойында қамалдар салуды және башқұрт-қазақ халықтарын өзара жауластыруды қолға ала бастады. Яғни, қазақтар армандағандай Ресейдiң қазақ халқының басқыншы ойраттарға қарсы соғысында одақтас болуы және қазақтарды өздерiмен тең санауы, тiптен де мүмкiн емес едi.",Қазақтар нені армандаған еді?,Ресейдiң қазақ халқының басқыншы ойраттарға қарсы соғысында одақтас болуы және қазақтарды өздерiмен тең санауы,289,399
"Орыс үкiметiнiң Қазақстан жөнiндегi жоспары тiптi бас - қаша едi. 1714—1720 жылдар аралығында Ертiс өзенiнiң жоғарғы ағысында Жәмiш, Омбы, Колбасинск, Железинск, Семей, Коряков (Кереку), Өскемен бекiнiстерiн бiрiнен кейiн бiрiн тұрғызған патша өкiметi қазақ жерiне ауыз сала бастады. ",Қандай бекіністерді орыс үкіметі тұрғызды?,"Жәмiш, Омбы, Колбасинск, Железинск, Семей, Коряков (Кереку), Өскемен",126,194
"Орыс үкiметiнiң Қазақстан жөнiндегi жоспары тiптi бас - қаша едi. 1714—1720 жылдар аралығында Ертiс өзенiнiң жоғарғы ағысында Жәмiш, Омбы, Колбасинск, Железинск, Семей, Коряков (Кереку), Өскемен бекiнiстерiн бiрiнен кейiн бiрiн тұрғызған патша өкiметi қазақ жерiне ауыз сала бастады. ",Қай жылдар аралығында Ертіс өзенінің жоғарғы ағысында бекіністер тұрғызыла бастады?,1714—1720 жылдар аралығында,66,93
"Қазақтардың жоңғарлармен соғысып жатқанын пайдаланып, қазақ жерiнде бекiнiстер салу арқылы елдi бiртiндеп жаулап алуды ойластырды. Қазақтар мен башқұрттарды бiр-бiрiне айдап салу арқылы өзiнiң отаршылдық саясатын күшейтуге тырысқан орыс үкiметiне Әбiлқайырдың елшiлiгi күтпеген олжа болды. 1731 жылғы ақпан айының 19-ы күнi қазақ елшiлерi Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алды.",Қазақ жеріне бекіністер салу арқылы не көзделді?,бiртiндеп жаулап алуды,96,118
"Қазақтардың жоңғарлармен соғысып жатқанын пайдаланып, қазақ жерiнде бекiнiстер салу арқылы елдi бiртiндеп жаулап алуды ойластырды. Қазақтар мен башқұрттарды бiр-бiрiне айдап салу арқылы өзiнiң отаршылдық саясатын күшейтуге тырысқан орыс үкiметiне Әбiлқайырдың елшiлiгi күтпеген олжа болды. 1731 жылғы ақпан айының 19-ы күнi қазақ елшiлерi Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алды.",Орыс үкіметі қазақтар мен башқұрттарды бір-біріне айдап салу арқылы нені көздеді?,отаршылдық саясатын күшейту,193,220
"Қазақтардың жоңғарлармен соғысып жатқанын пайдаланып, қазақ жерiнде бекiнiстер салу арқылы елдi бiртiндеп жаулап алуды ойластырды. Қазақтар мен башқұрттарды бiр-бiрiне айдап салу арқылы өзiнiң отаршылдық саясатын күшейтуге тырысқан орыс үкiметiне Әбiлқайырдың елшiлiгi күтпеген олжа болды. 1731 жылғы ақпан айының 19-ы күнi қазақ елшiлерi Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алды.",Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының Кiшi жүздi империя құрамына қабылдау туралы ұсынысын кім қабыл алды?,императрица Анна Иоанновна,440,466
"Қазақтардың жоңғарлармен соғысып жатқанын пайдаланып, қазақ жерiнде бекiнiстер салу арқылы елдi бiртiндеп жаулап алуды ойластырды. Қазақтар мен башқұрттарды бiр-бiрiне айдап салу арқылы өзiнiң отаршылдық саясатын күшейтуге тырысқан орыс үкiметiне Әбiлқайырдың елшiлiгi күтпеген олжа болды. 1731 жылғы ақпан айының 19-ы күнi қазақ елшiлерi Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алды.",Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алуы қай жылы орын алды? ,1731,290,294
"Қазақтардың жоңғарлармен соғысып жатқанын пайдаланып, қазақ жерiнде бекiнiстер салу арқылы елдi бiртiндеп жаулап алуды ойластырды. Қазақтар мен башқұрттарды бiр-бiрiне айдап салу арқылы өзiнiң отаршылдық саясатын күшейтуге тырысқан орыс үкiметiне Әбiлқайырдың елшiлiгi күтпеген олжа болды. 1731 жылғы ақпан айының 19-ы күнi қазақ елшiлерi Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алды.",Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алуы қай айда орын алды?,ақпан,301,306
"Қазақтардың жоңғарлармен соғысып жатқанын пайдаланып, қазақ жерiнде бекiнiстер салу арқылы елдi бiртiндеп жаулап алуды ойластырды. Қазақтар мен башқұрттарды бiр-бiрiне айдап салу арқылы өзiнiң отаршылдық саясатын күшейтуге тырысқан орыс үкiметiне Әбiлқайырдың елшiлiгi күтпеген олжа болды. 1731 жылғы ақпан айының 19-ы күнi қазақ елшiлерi Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алды.",Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алуы қай күні орын алды?,19-ы күнi,314,323
"Қазақтардың жоңғарлармен соғысып жатқанын пайдаланып, қазақ жерiнде бекiнiстер салу арқылы елдi бiртiндеп жаулап алуды ойластырды. Қазақтар мен башқұрттарды бiр-бiрiне айдап салу арқылы өзiнiң отаршылдық саясатын күшейтуге тырысқан орыс үкiметiне Әбiлқайырдың елшiлiгi күтпеген олжа болды. 1731 жылғы ақпан айының 19-ы күнi қазақ елшiлерi Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алды.",Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алуы қай уақытта орын алды?,1731 жылғы ақпан айының 19-ы күнi,290,323
"Қазақтардың жоңғарлармен соғысып жатқанын пайдаланып, қазақ жерiнде бекiнiстер салу арқылы елдi бiртiндеп жаулап алуды ойластырды. Қазақтар мен башқұрттарды бiр-бiрiне айдап салу арқылы өзiнiң отаршылдық саясатын күшейтуге тырысқан орыс үкiметiне Әбiлқайырдың елшiлiгi күтпеген олжа болды. 1731 жылғы ақпан айының 19-ы күнi қазақ елшiлерi Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алды.",1731 жылғы ақпан айының 19-ы күнi императрица Анна Иоанновна кімдерді қабыл алды?,қазақ елшiлерi Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының,324,386
"Қазақтардың жоңғарлармен соғысып жатқанын пайдаланып, қазақ жерiнде бекiнiстер салу арқылы елдi бiртiндеп жаулап алуды ойластырды. Қазақтар мен башқұрттарды бiр-бiрiне айдап салу арқылы өзiнiң отаршылдық саясатын күшейтуге тырысқан орыс үкiметiне Әбiлқайырдың елшiлiгi күтпеген олжа болды. 1731 жылғы ақпан айының 19-ы күнi қазақ елшiлерi Сейiтқұл Қойдағұлұлы мен Құтлымбет Қоштайұлының Кiшi жүздi империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алды.",Қай жүзді империя құрамына қабылдау туралы ұсынысын императрица Анна Иоанновна қабыл алды?,Кiшi жүздi,387,397
"Кiшi жүз қазақтарының Ресейге қосылуға тiлек бiлдiрген феодалдық топтары мен Әбiлқайырдан ант алу үшiн Анна Иоанновна Қазақстанға арнайы елшiлiк жiбердi. Оны сыртқы iстер коллегиясының тiлмашы, қабiлеттi елшi А.И.Тевкелев басқарды.",Анна Иоанновна кімдерден ант алу үшін қазақстанға өз елшілігін жіберді?,Кiшi жүз қазақтарының Ресейге қосылуға тiлек бiлдiрген феодалдық топтары мен Әбiлқайырдан ант алу үшiн,0,102
"Кiшi жүз қазақтарының Ресейге қосылуға тiлек бiлдiрген феодалдық топтары мен Әбiлқайырдан ант алу үшiн Анна Иоанновна Қазақстанға арнайы елшiлiк жiбердi. Оны сыртқы iстер коллегиясының тiлмашы, қабiлеттi елшi А.И.Тевкелев басқарды.",сырқы істер коллегиясының тілмашы қабілетті елші кім басқарды?,А.И.Тевкелев,209,221
"Кiшi жүз қазақтарының Ресейге қосылуға тiлек бiлдiрген феодалдық топтары мен Әбiлқайырдан ант алу үшiн Анна Иоанновна Қазақстанға арнайы елшiлiк жiбердi. Оны сыртқы iстер коллегиясының тiлмашы, қабiлеттi елшi А.И.Тевкелев басқарды.",А.И.Тевкелев кім?,"сыртқы iстер коллегиясының тiлмашы, қабiлеттi елшi",158,208
Шығу тегi жағынан Қазанның мырзасы Култлу Мұхаммед деген атпен белгiлi болған А.Тевкелев қазақтарды Ресей қол астына бодандықты қабылдау туралы грамота мен қазақ билерiне арналған әртүрлi қымбат сыйлықтарды өзiмен бiрге ала келдi.Бұл кезде Әбiлқайыр ханның ауылы Ырғыз өзенiнiң жағасын қоныс етiп отыр едi. Осында Әбiлқайырдың өзiнiң билерiн және халықты алдағаны әшкере болды.,Шығу тегi жағынан Қазанның мырзасы Култлу Мұхаммед деген атпен белгiлi болған кім?,А.Тевкелев,78,88
Шығу тегi жағынан Қазанның мырзасы Култлу Мұхаммед деген атпен белгiлi болған А.Тевкелев қазақтарды Ресей қол астына бодандықты қабылдау туралы грамота мен қазақ билерiне арналған әртүрлi қымбат сыйлықтарды өзiмен бiрге ала келдi.Бұл кезде Әбiлқайыр ханның ауылы Ырғыз өзенiнiң жағасын қоныс етiп отыр едi. Осында Әбiлқайырдың өзiнiң билерiн және халықты алдағаны әшкере болды.,А.Тевкелев шығу тегі бойынша қандай атпен белгілі болған?,Култлу Мұхаммед,35,50
Шығу тегi жағынан Қазанның мырзасы Култлу Мұхаммед деген атпен белгiлi болған А.Тевкелев қазақтарды Ресей қол астына бодандықты қабылдау туралы грамота мен қазақ билерiне арналған әртүрлi қымбат сыйлықтарды өзiмен бiрге ала келдi.Бұл кезде Әбiлқайыр ханның ауылы Ырғыз өзенiнiң жағасын қоныс етiп отыр едi. Осында Әбiлқайырдың өзiнiң билерiн және халықты алдағаны әшкере болды.,А.Тевкелев қандай грамота алып келді?,қазақтарды Ресей қол астына бодандықты қабылдау туралы грамота,89,151
Шығу тегi жағынан Қазанның мырзасы Култлу Мұхаммед деген атпен белгiлi болған А.Тевкелев қазақтарды Ресей қол астына бодандықты қабылдау туралы грамота мен қазақ билерiне арналған әртүрлi қымбат сыйлықтарды өзiмен бiрге ала келдi.Бұл кезде Әбiлқайыр ханның ауылы Ырғыз өзенiнiң жағасын қоныс етiп отыр едi. Осында Әбiлқайырдың өзiнiң билерiн және халықты алдағаны әшкере болды.,А.Тевкелев қазақ билеріне не әкелді?,әртүрлi қымбат сыйлықтарды,180,206
Шығу тегi жағынан Қазанның мырзасы Култлу Мұхаммед деген атпен белгiлi болған А.Тевкелев қазақтарды Ресей қол астына бодандықты қабылдау туралы грамота мен қазақ билерiне арналған әртүрлi қымбат сыйлықтарды өзiмен бiрге ала келдi.Бұл кезде Әбiлқайыр ханның ауылы Ырғыз өзенiнiң жағасын қоныс етiп отыр едi. Осында Әбiлқайырдың өзiнiң билерiн және халықты алдағаны әшкере болды.,Кімнің ауылы Ырғыз өзенінің бойын жағасын қоныс етіп отырған еді?,Әбiлқайыр ханның,240,256
Шығу тегi жағынан Қазанның мырзасы Култлу Мұхаммед деген атпен белгiлi болған А.Тевкелев қазақтарды Ресей қол астына бодандықты қабылдау туралы грамота мен қазақ билерiне арналған әртүрлi қымбат сыйлықтарды өзiмен бiрге ала келдi.Бұл кезде Әбiлқайыр ханның ауылы Ырғыз өзенiнiң жағасын қоныс етiп отыр едi. Осында Әбiлқайырдың өзiнiң билерiн және халықты алдағаны әшкере болды.,Әбiлқайыр ханның ауылы қай өзеннің бойында болған еді?,Ырғыз өзенiнiң,263,277
Шығу тегi жағынан Қазанның мырзасы Култлу Мұхаммед деген атпен белгiлi болған А.Тевкелев қазақтарды Ресей қол астына бодандықты қабылдау туралы грамота мен қазақ билерiне арналған әртүрлi қымбат сыйлықтарды өзiмен бiрге ала келдi.Бұл кезде Әбiлқайыр ханның ауылы Ырғыз өзенiнiң жағасын қоныс етiп отыр едi. Осында Әбiлқайырдың өзiнiң билерiн және халықты алдағаны әшкере болды.,Әбілқайырдың кімдерді алдағаны әшкере болды?,өзiнiң билерiн және халықты алдағаны,327,363
"Бұған ашынған билер Әбiлқайыр ханның Тевкелевпен келiсiмiне кедергi жасауға күш салып, олардың екеуiнде халық жиналысы болғанға дейiн үй тұтқыны ретiнде жеке киiз үйлерде ұстап, бақылауға алды. Бiрақ хан Тевкелевпен түнде жасырын кездесудiң ыңғайын тауып, оған барлық жағдайды түсiндiрдi.",Кімдер Әбілқайыр мен Тевкелевке ашынды?,билер,14,19
"Бұған ашынған билер Әбiлқайыр ханның Тевкелевпен келiсiмiне кедергi жасауға күш салып, олардың екеуiнде халық жиналысы болғанға дейiн үй тұтқыны ретiнде жеке киiз үйлерде ұстап, бақылауға алды. Бiрақ хан Тевкелевпен түнде жасырын кездесудiң ыңғайын тауып, оған барлық жағдайды түсiндiрдi.",ашынған билер Әбілқайыр хан мен Тевклелев екеуін қай жерде ұстап отырды?,үй тұтқыны ретiнде жеке киiз үйлерде,134,170
"Бұған ашынған билер Әбiлқайыр ханның Тевкелевпен келiсiмiне кедергi жасауға күш салып, олардың екеуiнде халық жиналысы болғанға дейiн үй тұтқыны ретiнде жеке киiз үйлерде ұстап, бақылауға алды. Бiрақ хан Тевкелевпен түнде жасырын кездесудiң ыңғайын тауып, оған барлық жағдайды түсiндiрдi.",Хан мен Тевкелев қай уақытта кездесті?,түнде,216,221
"Бұған ашынған билер Әбiлқайыр ханның Тевкелевпен келiсiмiне кедергi жасауға күш салып, олардың екеуiнде халық жиналысы болғанға дейiн үй тұтқыны ретiнде жеке киiз үйлерде ұстап, бақылауға алды. Бiрақ хан Тевкелевпен түнде жасырын кездесудiң ыңғайын тауып, оған барлық жағдайды түсiндiрдi.",түнде жасырын кездескен кім?,хан Тевкелевпен,200,215
"Әбiлқайыр патша өкiметiне халық атынан емес, өзiнiң атынан өтiнiш жасаған болса, оның қабылданбайтындығына сенiмдi екендiгiн атап көрсеттi. Шын мәнiнде Әбiлқайырдың Ресей қол астына өту туралы өтiнiшi — ойраттардан жеңiлiп, “Ақтабан шұбырындыға” ұшырап босып кеткен қазақ даласында хандық басқарудың беделiнiң түсiп кетуiнен туындаған едi.","Әбілқайыр кімнің атынан өтініш жасаған болса, оның қабылданбайтындығы туралы сенімді екендігі атап көрсетілді?",өзiнiң атынан,45,58
"Әбiлқайыр патша өкiметiне халық атынан емес, өзiнiң атынан өтiнiш жасаған болса, оның қабылданбайтындығына сенiмдi екендiгiн атап көрсеттi. Шын мәнiнде Әбiлқайырдың Ресей қол астына өту туралы өтiнiшi — ойраттардан жеңiлiп, “Ақтабан шұбырындыға” ұшырап босып кеткен қазақ даласында хандық басқарудың беделiнiң түсiп кетуiнен туындаған едi.","Әбілқайыр кімнің атынан өтініш жасаған болса, оның қабылданатындығы туралы сенімді екендігі атап көрсетілді?",халық атынан,26,38
"Әбiлқайыр патша өкiметiне халық атынан емес, өзiнiң атынан өтiнiш жасаған болса, оның қабылданбайтындығына сенiмдi екендiгiн атап көрсеттi. Шын мәнiнде Әбiлқайырдың Ресей қол астына өту туралы өтiнiшi — ойраттардан жеңiлiп, “Ақтабан шұбырындыға” ұшырап босып кеткен қазақ даласында хандық басқарудың беделiнiң түсiп кетуiнен туындаған едi.",әбілқайырдың Ресейдің қол астына өту бойынша өтініші неден туындаған еді?,"ойраттардан жеңiлiп, “Ақтабан шұбырындыға” ұшырап босып кеткен қазақ даласында хандық басқарудың беделiнiң түсiп кетуiнен",203,324
"Жау жағадан алған жаңа жағдайда Әбiлқайыр тәрiздi хандардың емес, қазақ батырлары мен билерiнiң ықпалы мен беделi халық арасында өсе түстi. Сонымен қатар Әбiлқайыр орысқа бодандыққа өтудi өтiнiп сұрағанда, Ресейдiң қол астындағы башқұрттар мен қалмақтардың қазақ жерiне тоқтаусыз шабуылдарын патша өкiметiнiң көмегiмен тежеудi көздедi. Осылайша Әбiлқайыр Қазақ хандығының бұрынғы беделiн Ресейдiң ықпалымен қалпына келтiрiп, өзi жалпы қазаққа хан атануды көздеген едi. Хан Тевкелевпен жасырын жеке әңгiмеде, келiссөз жүргiзетiн билердi және батырларды айтқанға көндiру үшiн оларға әртүрлi қымбат сыйлықтар берудi ұсынды.",Жау шапқыншылығы туындағанда кімдердің беделі халық арасында өсті?,қазақ батырлары мен билерiнiң,66,95
"Жау жағадан алған жаңа жағдайда Әбiлқайыр тәрiздi хандардың емес, қазақ батырлары мен билерiнiң ықпалы мен беделi халық арасында өсе түстi. Сонымен қатар Әбiлқайыр орысқа бодандыққа өтудi өтiнiп сұрағанда, Ресейдiң қол астындағы башқұрттар мен қалмақтардың қазақ жерiне тоқтаусыз шабуылдарын патша өкiметiнiң көмегiмен тежеудi көздедi. Осылайша Әбiлқайыр Қазақ хандығының бұрынғы беделiн Ресейдiң ықпалымен қалпына келтiрiп, өзi жалпы қазаққа хан атануды көздеген едi. Хан Тевкелевпен жасырын жеке әңгiмеде, келiссөз жүргiзетiн билердi және батырларды айтқанға көндiру үшiн оларға әртүрлi қымбат сыйлықтар берудi ұсынды.",Жау шапқыншылығы туындағанда кімдердің беделі халық арасында төмендеді?,Әбiлқайыр тәрiздi хандардың,32,59
"Жау жағадан алған жаңа жағдайда Әбiлқайыр тәрiздi хандардың емес, қазақ батырлары мен билерiнiң ықпалы мен беделi халық арасында өсе түстi. Сонымен қатар Әбiлқайыр орысқа бодандыққа өтудi өтiнiп сұрағанда, Ресейдiң қол астындағы башқұрттар мен қалмақтардың қазақ жерiне тоқтаусыз шабуылдарын патша өкiметiнiң көмегiмен тежеудi көздедi. Осылайша Әбiлқайыр Қазақ хандығының бұрынғы беделiн Ресейдiң ықпалымен қалпына келтiрiп, өзi жалпы қазаққа хан атануды көздеген едi. Хан Тевкелевпен жасырын жеке әңгiмеде, келiссөз жүргiзетiн билердi және батырларды айтқанға көндiру үшiн оларға әртүрлi қымбат сыйлықтар берудi ұсынды.",Әбілқайыр Ресефдің қол астына өту арқылы нені тоқтатуды көздеді?,Ресейдiң қол астындағы башқұрттар мен қалмақтардың қазақ жерiне тоқтаусыз шабуылдарын,206,291
"Жау жағадан алған жаңа жағдайда Әбiлқайыр тәрiздi хандардың емес, қазақ батырлары мен билерiнiң ықпалы мен беделi халық арасында өсе түстi. Сонымен қатар Әбiлқайыр орысқа бодандыққа өтудi өтiнiп сұрағанда, Ресейдiң қол астындағы башқұрттар мен қалмақтардың қазақ жерiне тоқтаусыз шабуылдарын патша өкiметiнiң көмегiмен тежеудi көздедi. Осылайша Әбiлқайыр Қазақ хандығының бұрынғы беделiн Ресейдiң ықпалымен қалпына келтiрiп, өзi жалпы қазаққа хан атануды көздеген едi. Хан Тевкелевпен жасырын жеке әңгiмеде, келiссөз жүргiзетiн билердi және батырларды айтқанға көндiру үшiн оларға әртүрлi қымбат сыйлықтар берудi ұсынды.",Әбілқайыр ресейдің боданына қазақ жерін өткізіп өзі нені көздеген еді?,"Қазақ хандығының бұрынғы беделiн Ресейдiң ықпалымен қалпына келтiрiп, өзi жалпы қазаққа хан атануды",355,454
"Жау жағадан алған жаңа жағдайда Әбiлқайыр тәрiздi хандардың емес, қазақ батырлары мен билерiнiң ықпалы мен беделi халық арасында өсе түстi. Сонымен қатар Әбiлқайыр орысқа бодандыққа өтудi өтiнiп сұрағанда, Ресейдiң қол астындағы башқұрттар мен қалмақтардың қазақ жерiне тоқтаусыз шабуылдарын патша өкiметiнiң көмегiмен тежеудi көздедi. Осылайша Әбiлқайыр Қазақ хандығының бұрынғы беделiн Ресейдiң ықпалымен қалпына келтiрiп, өзi жалпы қазаққа хан атануды көздеген едi. Хан Тевкелевпен жасырын жеке әңгiмеде, келiссөз жүргiзетiн билердi және батырларды айтқанға көндiру үшiн оларға әртүрлi қымбат сыйлықтар берудi ұсынды.",Тевкелеп Ханға билер мен батырларды өз айтқанға көндіру үшін не ұсынды?,оларға әртүрлi қымбат сыйлықтар берудi,574,612
"Қазан айының басында бiрiншi рет, ал сол айдың 10-ы күнi екiншi рет орыс елшiсi Кiшi жүз билерiмен кездестi. Әбiлқайырдың төңiрегi, соның iшiнде, табын руынан халық арасында құрметке ие болған атақты Бөкенбай батыр орыс үкiметiнiң билiгiн мойындағанымен, Кiшi жүз өз дербестiгiн сақтап қалуға тырысты. Олар Тевкелев пен Әбiлқайыр тобына мейлiнше қарсы шықты.",Қазан айының қай уақытында бірінші рет орыс елшілігі билермен кездесті?,Қазан айының басында,0,20
"Қазан айының басында бiрiншi рет, ал сол айдың 10-ы күнi екiншi рет орыс елшiсi Кiшi жүз билерiмен кездестi. Әбiлқайырдың төңiрегi, соның iшiнде, табын руынан халық арасында құрметке ие болған атақты Бөкенбай батыр орыс үкiметiнiң билiгiн мойындағанымен, Кiшi жүз өз дербестiгiн сақтап қалуға тырысты. Олар Тевкелев пен Әбiлқайыр тобына мейлiнше қарсы шықты.",Қазан айының қай уақытында екінші рет орыс елшілігі билермен кездесті?,"Қазан айының басында бiрiншi рет, ал сол айдың 10-ы күнi",0,56
